flight_no,airline,duration,price,most_common_depart_day,most_common_depart_time,most_common_meal,most_common_equipment,avg_on_time,departure airport,departure city,arrival airport,arrival city
3957,Delta,77,263.8017551,Saturday,11:00:00,,,90,"Boston, USA",BOS,"New York, USA",JFK
1801,Delta,180,234.7583024,Wednesday,11:00:00,Refreshment for purchase,MDC MD90,100,"Boston, USA",BOS,"Atlanta, USA",ATL
2162,American Airlines,80,214.9094444,Monday,13:00:00,,Embraer 190,80,"Boston, USA",BOS,"New York, USA",LGA
1217,JetBlue Airways,75,202.1612903,Saturday,12:30:00,,Embraer 190,100,"Boston, USA",BOS,"New York, USA",JFK
3997,Delta,141,285.714433,Thursday,13:00:00,,,100,"Boston, USA",BOS,"Cincinnati, USA",CVG
203,United,162,270.2204757,Tuesday,6:15:00,Food and beverage for purchase,Boeing 737-900,90,"Boston, USA",BOS,"Chicago, USA",ORD
1039,JetBlue Airways,288,505.585,Friday,7:00:00,,Airbus A320,100,"Boston, USA",BOS,"Austin, USA",AUS
232,Delta,85,225.5118182,Thursday,7:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
105,Delta,178,273.5253949,Wednesday,16:00:00,Refreshment for purchase,Boeing 757,100,"Boston, USA",BOS,"Atlanta, USA",ATL
1763,United,84,210.6261269,Friday,6:30:00,,Boeing 737-800,100,"Boston, USA",BOS,"Newark, USA",EWR
2277,Delta,381,333.1,Saturday,7:00:00,Food For Purchase,BOEING 737-800 (WINGLETS) PASSENGER,-1,"Boston, USA",BOS,"Seattle, USA",SEA
1253,United,163,271.569434,Saturday,11:10:00,Food and beverage for purchase,Boeing 737-800,100,"Boston, USA",BOS,"Chicago, USA",ORD
1805,American Airlines,142,219.9072523,Thursday,9:35:00,Food For Purchase,Airbus A320,90,"Boston, USA",BOS,"Charlotte, USA",CLT
1497,Delta,148,172.1806364,Tuesday,7:00:00,,Airbus A320,100,"Boston, USA",BOS,"Detroit, USA",DTW
652,Delta,186,218.9585106,Friday,18:30:00,Refreshment for purchase,MDC MD90,90,"Boston, USA",BOS,"Atlanta, USA",ATL
3357,United,172,522.0183333,Sunday,16:43:00,Food and beverage for purchase,,-1,"Boston, USA",BOS,"Chicago, USA",ORD
3654,Delta,219,289.16,Saturday,8:15:00,Refreshment for purchase,,-1,"Boston, USA",BOS,"West Palm Beach, USA",PBI
443,American Airlines,343,213.8552924,Saturday,6:25:00,Food For Purchase,Airbus A320,100,"Boston, USA",BOS,"Phoenix, USA",PHX
1814,American Airlines,148,376.7577273,Sunday,7:55:00,Food For Purchase,Airbus A319,90,"Boston, USA",BOS,"Charlotte, USA",CLT
1279,United,402,352.1541667,Saturday,15:05:00,Food For Purchase,Boeing 737-800,100,"Boston, USA",BOS,"San Francisco, USA",SFO
783,United,404,382.2,Saturday,13:05:00,Food For Purchase,Boeing 737-900,-1,"Boston, USA",BOS,"San Francisco, USA",SFO
1551,United,98,203.8164374,Monday,14:30:00,,Boeing 737-800,70,"Boston, USA",BOS,"Newark, USA",EWR
1027,JetBlue Airways,92,114.9887624,Monday,15:44:00,,Embraer 190,100,"Boston, USA",BOS,"Baltimore, USA",BWI
1415,Delta,80,317.4333333,Monday,7:00:00,,Airbus A319,100,"Boston, USA",BOS,"New York, USA",JFK
62,Delta,144,196.9885,Tuesday,16:50:00,,Boeing 737-800,80,"Boston, USA",BOS,"Cincinnati, USA",CVG
3980,United,94,221.3127027,Saturday,15:00:00,,Embraer EMB-145,-1,"Boston, USA",BOS,"Newark, USA",EWR
2008,American Airlines,144,202.9454537,Saturday,6:15:00,Food For Purchase,Airbus A321,100,"Boston, USA",BOS,"Charlotte, USA",CLT
117,JetBlue Airways,75,191.4137662,Saturday,11:43:00,,Embraer 190,100,"Boston, USA",BOS,"New York, USA",JFK
3704,Delta,125,317.4493258,Tuesday,14:10:00,,,100,"Boston, USA",BOS,"Raleigh, USA",RDU
921,JetBlue Airways,206,1333.3,Sunday,10:40:00,,Airbus A320,80,"Boston, USA",BOS,"West Palm Beach, USA",PBI
