Origin,Org_Lat,Org_Lon,Dest,Dest_Lat,Dest_Lon,Time_Of_Day,Avg_Delay
SLC,40.788389,-111.977772,OMA,41.303167,-95.894069,19,6.10
PHL,39.871944,-75.241139,CLE,41.411689,-81.849794,13,1.60
DFW,32.896828,-97.037997,DEN,39.861656,-104.673178,11,13.18
ATL,33.636719,-84.428067,LAX,33.942536,-118.408075,21,15.31
SLC,40.788389,-111.977772,PSP,33.829667,-116.506694,11,0.05
DTW,42.212444,-83.353389,MIA,25.79325,-80.290556,17,15.71
SFO,37.618972,-122.374889,IAD,38.944533,-77.455811,13,16.77
SFO,37.618972,-122.374889,OKC,35.393089,-97.600733,13,0.67
LAS,36.080056,-115.15225,MEM,35.042417,-89.976667,7,6.00
SFO,37.618972,-122.374889,OGG,20.89865,-156.430458,16,21.57
DAL,32.847111,-96.851778,CMH,39.997972,-82.891889,19,8.00
OAK,37.721278,-122.220722,LAS,36.080056,-115.15225,10,6.50
DSM,41.533972,-93.663083,PHX,33.434278,-112.011583,8,-4.03
SFO,37.618972,-122.374889,PSP,33.829667,-116.506694,7,1.84
ATL,33.636719,-84.428067,BHM,33.562942,-86.75355,20,11.82
MSP,44.881956,-93.221767,MCO,28.429394,-81.308994,7,3.54
DEN,39.861656,-104.673178,ABQ,35.0402222,-106.6091944,17,25.53
CLE,41.411689,-81.849794,MHT,42.932556,-71.435667,18,-1.95
DEN,39.861656,-104.673178,ICT,37.649944,-97.433056,6,-8.00
FLL,26.072583,-80.15275,MDW,41.785972,-87.752417,20,18.71
CLE,41.411689,-81.849794,MKE,42.947222,-87.896583,20,9.50
JAX,30.494056,-81.687861,DEN,39.861656,-104.673178,11,7.90
PIT,40.491467,-80.232872,IAD,38.944533,-77.455811,17,6.82
FAT,36.776194,-119.71814,DFW,32.896828,-97.037997,6,14.45
SAT,29.533694,-98.469778,MEM,35.042417,-89.976667,17,-0.91
MCI,39.297606,-94.713905,HOU,29.645419,-95.278889,6,-1.44
RIC,37.505167,-77.319667,CLT,35.214,-80.943139,11,3.04
SAT,29.533694,-98.469778,PHX,33.434278,-112.011583,19,17.59
DTW,42.212444,-83.353389,HPN,41.066959,-73.707575,12,12.40
DFW,32.896828,-97.037997,SPI,39.8441,-89.677889,20,14.06
OKC,35.393089,-97.600733,LAX,33.942536,-118.408075,16,15.87
SAN,32.733556,-117.189667,ABQ,35.0402222,-106.6091944,7,0.23
FAT,36.776194,-119.71814,SFO,37.618972,-122.374889,9,34.37
SYR,43.111187,-76.106311,EWR,40.6925,-74.168667,5,-5.56
HPN,41.066959,-73.707575,ATL,33.636719,-84.428067,12,14.61
SEA,47.449,-122.309306,GEG,47.619861,-117.533833,18,9.04
CVG,39.048836,-84.667822,BNA,36.124472,-86.678194,11,-2.04
GRB,44.485072,-88.129589,ATL,33.636719,-84.428067,10,-7.00
DFW,32.896828,-97.037997,CAE,33.938833,-81.119528,8,5.19
ATL,33.636719,-84.428067,MYR,33.67975,-78.928333,12,6.46
ATL,33.636719,-84.428067,SAN,32.733556,-117.189667,15,10.39
IAH,29.984433,-95.341442,AMA,35.219369,-101.705931,14,7.45
PHX,33.434278,-112.011583,RNO,39.499108,-119.768108,20,5.98
ORD,41.978603,-87.904842,GSO,36.09775,-79.937306,0,-2.60
ATL,33.636719,-84.428067,ORD,41.978603,-87.904842,7,6.70
CLD,33.0742,-117.1648,LAX,33.942536,-118.408075,19,8.66
HOU,29.645419,-95.278889,MAF,31.942528,-102.201914,6,-2.44
LAS,36.080056,-115.15225,PDX,45.588722,-122.5975,10,0.43
SAV,32.127583,-81.202139,BOS,42.364347,-71.005181,15,9.80
BHM,33.562942,-86.75355,ORD,41.978603,-87.904842,9,9.94
SBP,35.2368,-120.642,SFO,37.618972,-122.374889,20,9.50
RIC,37.505167,-77.319667,ORD,41.978603,-87.904842,14,23.42
CLE,41.411689,-81.849794,PIT,40.491467,-80.232872,17,5.00
CLE,41.411689,-81.849794,RSW,26.536167,-81.755167,9,7.56
SAT,29.533694,-98.469778,ATL,33.636719,-84.428067,19,11.13
OAK,37.721278,-122.220722,ABQ,35.0402222,-106.6091944,10,7.42
CLT,35.214,-80.943139,EWR,40.6925,-74.168667,12,14.57
BWI,39.175361,-76.668333,MEM,35.042417,-89.976667,9,11.31
FLL,26.072583,-80.15275,PHL,39.871944,-75.241139,7,0.64
BWI,39.175361,-76.668333,EWR,40.6925,-74.168667,8,-14.00
STL,38.748697,-90.370028,MCI,39.297606,-94.713905,13,8.77
